노래제목,가수,가사,요약,카테고리,
사모곡,씨야,미련일까요 그댈 향한 마음 서러워 난 눈물이 나요 혼자라는게 쓸쓸하네요 그대 이름 불러봅니다 이별 때문에 가슴이 저려요 얼마나 아파해야 나 괜찮아질까요 사랑했어요 사랑했어요 가지말란 말도 못한 그 사람 보고싶어도 볼 수가 없네요 이미 멀어진 사람 그대여  바람 불어와 내 머릴 넘기며 그대 손길이 생각나요 술에 취하면 그대 생각에 가슴치고 후회했어요 사랑 때문에 눈물이 흘러요 얼마나 더 울어야 나 괜찮아질까요 사랑했어요 사랑했어요 가지말란말도 못한 그사람 보고싶어도 볼 수가 없네요 이미 멀어진 사람 사랑합니다 사랑합니다 사는동안 차마 못했던 그 말 나의 가슴에 묻어야하겠지 이미 떠나간 사람 잘가요,"이별 후 그리움과 사랑의 아픔을 깊이 느끼며, 떠나간 사람에 대한 미련과 사랑을 표현하는 노래.",가족,관계
가족,김건모,"1.너무 먼곳에서 행복을 찾고 매일 부족해서 힘들어했었죠. 몰랐네요 이제야 보이네요. 가장 소중한 것은 가족이라는 것 사실 항상 가까운 곳에 있어서 아무 조건없이 내 편이 되줘서 고맙다고 말 한마디 못했었네요 당연하게 받기만 햇었네요.  사랑해요 이젠 알아요. 무엇도 바꿀 수 없는거죠 내 인생에 가장 빛나는 보석 이젠 내가 먼너 사랑할께요 너무 편안하게 생각을 해서 가끔 심한 말로 함부로 했네요 미안해요 한 마디면 풀릴텐데 뭐가 그렇게도 어색했는지  2.아직 효도한 번 제대로 못했죠. 나이를 먹는게 때로는 두렵죠. 늦기 전에 받은 사랑의 반이라도, 부모님께 돌려드릴 수 있길... 사랑해요 이젠 알아요. 무엇도 바꿀 수 없는 거죠. 내 인생에 가장 빛나는 보석 이젠 내가 먼저 사랑할께요. 나 하나만 믿는 사람들....... 그래서 내가 또 사는 거죠. 잘 할께요. 매일 더 사랑하며 함께 행복할 수 있도록... 지켜갈 수 있도록... 후회하지 않도록 해요..","가족에 대한 깊은 사랑과 감사의 마음을 깨닫고, 그들에게 더 많은 사랑을 주겠다는 다짐을 표현하는 노래.",가족,관계
아버지,김경호,가슴 깊이 묻어도 바람 한 점에 떨어지는 저 꽃잎처럼 그 이름만 들어도 눈물이 나 돌아갈 수 있을까 날 기다리던 그 곳으로 그 기억 속에 내 맘 속에 새겨진 슬픈 얼굴 커다란 울음으로도 그리움을 달랠 수 없어 불러 보고 또 불러 봐도 닿지 않는 저 먼 곳에 빈 메아리 되돌아 오며 다 잊으라고 말하지만 나 죽어 다시 태어나도 잊을 수 없는 사람 - 간 주 중 - 단 한 번만이라도 볼 수 있다면 나의 두 눈이 먼다 해도 난 그래도 그 한 번을 택하고 싶어 가슴 깊이 묻고 있어도 바람 한 점에 떨어지는 저 꽃잎 처럼 그 이름만 들어도 눈물이 나 떨어진 꽃잎 처럼,"잊을 수 없는 사람에 대한 그리움과 슬픔을 깊이 느끼며, 잃어버린 사랑을 회상하는 노래.",가족,관계
아버지,데프콘,아버지 듣고 있습니까 오늘은 또 어디에서 그 무거운 돌덩이를 지고 있습니까 계단을 한참 오르고 또 올라도 천원이야 무릎이 흔들거려 아파와도 천원이야 자식이 먹다 남은것들로 밥을 싸고 뭐 필요한거는 없냐 되려 말을 하죠 한 겨울 조그맣고 추운 가게에서 웅크린채 이를 떨며 바보같이 손님을 맞네 계속 그런 당신이 나는 창피했었고 장사꾼의 자식인 난 억울했었죠 지금 생각해도 내가 너무 했던건 감옥의 차디찬 눈물을 선물 했던것 남들은 다 포기해도 부모는 절대 포기못해 아들아 지금의 시련을 딛고 기도해 일어나 넌 더 큰 세상을 만나야해 적어도 나처럼 초라하게 살지는 말아야해 아버지의 맘 그때는 미처 몰랐네 인생의 훼방꾼 말이 안 통하네 아버지의 맘 그때는 미처 몰랐네 모두가 손가락질하며 나를 욕할때 아버지의 맘 그때는 미처 몰랐네 뒤에서 모든걸 짊어지고 기도한게 아버지의 맘 이제야 알것같애 아버지의 맘 그맘을 알것같애 자식이 바쁠까봐 전화도 맘대로 못걸고 가끔가다 먼저 걸면 몇마디 하다 끝난다 어머니 병원비 얘기를 왜 못해 자식한테 손 벌리는게 그게 괴롭대 명절에는 온가족이 모여 빚얘기 내 덕분에 다들 빚쟁이가 된 뒷얘기 별을 보고 소원을 빌며 속삭였는데 어느새 아버진 내 등을 토닥여주네 스케쥴을 매니져보다 더 잘알고 티비에 나가면 동네는 난리가 나죠 되지도 않는 랩을 헐떡이며 다 따라하죠 왜 이제는 절대 걱정 안한다라고 새벽녘에 눈을 떠 바라본 아들사진 오늘도 무사히를 조용히 발음하지 도시락을 챙겨 이제 일터로 나가신다 멀리에 있어도 우린 가족 하나입니다 아버지의 맘 그때는 미처 몰랐네 인생의 훼방꾼 말이 안 통하네 아버지의 맘 그때는 미처 몰랐네 모두가 손가락질하며 나를 욕할때 아버지의 맘 그때는 미처 몰랐네 뒤에서 모든걸 짊어지고 기도한게 아버지의 맘 이제야 알것같애 아버지의 맘 그맘을 알것같애  아버지의 맘 그때는 미처 몰랐네 인생의 훼방꾼 말이 안 통하네 아버지의 맘 그때는 미처 몰랐네 모두가 손가락질하며 나를 욕할때 아버지의 맘 그때는 미처 몰랐네 뒤에서 모든걸 짊어지고 기도한게 아버지의 맘 이제야 알것같애 아버지의 맘 그맘을 알것같애 내가 사랑하는 아버지의 얼굴을 보며 손에 잡혀지는 안타까운 주름때문에 뒤돌아 서글프게 목이 메어 울었습니다 나를 사랑하는 아버지의 얼굴을 보며 내가 사랑하는 아버지의 얼굴을 보며 손에 잡혀지는 안타까운 주름때문에 뒤돌아 서글프게 목이 메어 울었습니다 나를 사랑하는 아버지의 얼굴을 보며,아버지의 희생과 사랑을 이해하고 그 마음에 대한 깊은 감사와 애정을 표현하는 노래.,가족,관계
사모곡,태진아,앞산 노을 질때 까지 호미자루 벗을 삼아  화전밭 일구시고 흙에 살던 어머니  땀에 찌든 삼베 적삼 기워 입고 살으시다  소쩍새 울음 따라 하늘 가신 어머님  그 모습 그리워서 이 한밤을 지샙니다    무명 치마 졸라 매고 새벽 이슬 맞으시며  한평생 모진 가난 참아 내신 어머니  자나 깨나 자식 위해 신령님전 빌고 빌며  학 처럼 선녀 처럼 살다가신 어머님  이제는 눈물말고 그 무엇을 바치리까  자나 깨나 자식 위해 신령님전 빌고 빌며  학 처럼 선녀 처럼 살다가신 어머님  이제는 눈물말고 그 무엇을 바치리까,가난과 고생 속에서도 자식을 위해 헌신한 어머니에 대한 그리움과 사랑을 담은 노래.,가족,관계
효도,노라조,아 늘어가는 어머니의 가는 흰 머리 아 늘어가는 아버지의 주름살이 두분 모두 마음 약해 요즘 갱년기 부쩍부쩍 들려오는 한숨 소리 사랑한단 표현 한번 해봤던가 그저 손 벌릴 때만 요리조리 졸라 어버이날 빼고 신경 써봤던가 여친 생일 반 만큼도 신경 못썼네 우리 효도 하자 진짜 자꾸 말로만 말로만 하지 말고 이 참에 효도해 잘하자 진짜 진짜 결국 너도 나도 얘도 쟤도 자식 낳으면 알게 돼 효도 효도 효도 아빠 엄마 효도 효도 효도 내리 사랑 아 요즘 따라 어머니의 관절염이 아 요즘 따라 아버지의 혈액순환이 두분 모두 기력 쇠한 요즘 노년기 보일러가 고장 났다 전화 하셨지 따듯이 손한번 잡아 드렸던가 그저 용돈 좀 부쳐 드리면 그만 명절날 빼고 뵈었던가 아차 오늘 엄마 생신인거 몰랐네 우리 효도 하자 진짜 자꾸 말로말 말로만 하지말고 이참에 효도해 잘하자 진짜 진짜 결국 너도 나도 얘도 쟤도 자식 낳으면 알게돼 아빠덜 죄송합니다 엄마덜 잘할께요 아빠덜 엄마덜 i love you we are family 효도 효도 효도 어무이 효도 효도 효도 아 아부지 우리 효도 하자 진짜 진짜로 진짜로 정말로 정말로 진짜로 정말로 잘하자 진짜 진짜 이 노래 끝나는 대로 부모님께 당장 전화해 콜 효도 효도 효도 아빠 엄마 효도 효도 효도 내리 사랑 아빠 엄마 부라보,"노년의 부모님에 대한 걱정과 후회, 그리고 진정한 효도의 중요성을 강조하는 노래.",가족,관계
엄마가 필요해,헤이즈 (Heize),엄마가 필요해 엄마 엄마 누군가 필요해 엄마가 있어도 엄마가 필요해 근데 엄마도 엄마가 필요해 지금의 나만큼 엄마도 힘이 있었던 그때 세상 가장 사랑스러운 목소리로 내 이름을 불러주던 날 안아주던 천사보다 천사 같은 엄마가 필요해 엄마 엄마 누군가 필요해 엄마가 있어도 엄마가 필요해 근데 엄마도 엄마가 필요해 필요 없는 것들을 사고 있는지도 모르고 의미 없는 누굴 만나고 헤어지고 쌓인 내 맘 구석 먼지들 함께 털어줄 천사보다 천사 같은 다음 생에도 엄마 딸로 태어나달라고 했지 싫어 내가 엄마의 엄마가 되어줄게 엄마가 그랬던 것처럼 전부를 다해 사랑해 줄게 사랑해 줄게 엄마가 필요해,"자신도 엄마의 사랑과 보살핌이 필요함을 느끼며, 엄마에 대한 무한한 사랑과 그리움을 표현하는 노래.",가족,관계
아빠처럼,Crush,치열한 삶 속에서 뒤 돌아 볼 시간도 없이 무거운 마음 이끌고 일터로 나가면 오늘도 나는 싸워야만 하네 아무도 알아 주지 않아 그래도 알아 난 참아야만 해 아빠처럼 살고 싶어요 아빠처럼 난 강해지고 싶어요 아직도 어린 날에 머물러 미련 속에 남아 이 마음 기댈 곳을 찾아요 아직도 어린 날에 머물러 당신에게나마 이 마음 잠시 내려 놓아요 내 마음 같지 않은 세상이 혼자선 너무 어려워,삶의 어려움 속에서 아버지의 강인함을 동경하며 위안과 힘을 찾으려는 이의 마음을 담은 노래.,가족,관계
엄마가 많이 아파요,015B,엄마가 많이 아파요 그렇게 예민하신 데 우리를 보고 웃네요 이모가 오니 우네요 내가 아주 어렸을 땐 엄마랑 결혼 한댔죠 근데 엄마가 아픈데 아무것 해줄 수 없죠 엄마도 꿈이 많았죠 한 땐 예쁘고 젊었죠 우리가 뺏어 버렸죠 엄만 후회가 없대요 엄마는 아직 몰라요 시간이 이제 없단 걸 말해줄 수가 없어서 우린 거짓 희망만 주네요 언젠간 잘해 줘야지 그렇게 미뤄만 두다가 이렇게 헤어질 시간이 빨리 올 줄 몰랐죠 엄마 이제 나는 나는 어쩌죠 하루하루 빠르게 나빠져 가는 모습 나는 더 이상 볼 수가 없어서 차라리 잠을 주무시다가 편히 가시기만 바라죠 엄마가 좋아한 분당에서 다시 살게 해주고 싶었어 엄마가 고쳐달라 부탁한 카메라도 고쳐줄께 하느님 불쌍한 우리 엄마 한 번만 살려주세요 엄마가 무서워하세요 좀 더 시간 주세요 내가 제일 사랑하는 분이에요 엄마와 지낸 이번 삶 나 정말 행복했어요 이젠 편안히 쉬세요 엄마야 이제 잘 가요,"아픈 엄마에 대한 사랑과 미안함, 그리고 헤어짐을 앞둔 슬픔과 감사의 마음을 담은 노래.",가족,관계
엄마,강아솔,딸아 사랑하는 내 딸아 엄마는 늘 염려스럽고 미안한 마음이다 날씨가 추워 겨울 이불을 보낸다 딸아 사랑하는 내 딸아 엄마는 늘 염려스럽고 미안한 마음이다 날씨가 추워 겨울 이불을 보낸다 딸아 사랑하는 내 딸아 엄마는 늘 염려스럽고 미안한 마음이다 귤을 보내니 맛있게 먹거라 엄마는 늘 말씀하셨지 내게 엄마니까 모든 것 다 할 수 있다고 그런 엄마께 나는 말했지 그 말이 세상에서 제일 슬픈 말이라고 남들이 뛰라고 할 때 멈추지 말라고 할 때 엄마는 내 손을 잡고 잠시 쉬라 하셨지 남들이 참으라 할 때 견디라고 말 할 때에 엄마는 안아주시며 잠시 울라 하셨지 남들이 뛰라고 할 때 멈추지 말라고 할 때 엄마는 내 손을 잡고 잠시 쉬라 하셨지 남들이 참으라 할 때 견디라고 말 할 때에 엄마는 안아주시며 잠시 울라 하셨지 다 갚지도 못할 빚만 쌓여가는구나 다 갚지도 못할 빚만 쌓여가는구나,"엄마의 끝없는 사랑과 배려, 그리고 그 사랑에 대한 딸의 감사와 미안함을 표현하는 노래.",가족,관계
엄마의 프로필 사진은 왜 꽃밭일까,김진호 (SG워너비),여행을 가는 게 옷 한 벌 사는 게 어색해진 사람 바삐 지내는 게 걱정을 하는 게 당연해진 사람 한 번이라도 마음 편히 떠나보는 게 어려운 일이 돼버린 사람 동네 담벼락 피어있는 꽃들을 보면 아직도 걸음 멈추는 사람 엄마의 사진엔 꽃밭이 있어 꽃밭 한가운데 엄마가 있어 그녀의 주변엔 꽃밭이 있어 아름답게 자란 꽃밭이 있어 티브이를 켜고 잠이 들어버리는 일이 어느새 익숙해진 한 사람 티브이 속에서 나오는 수많은 얘기에 혼자서 울고 웃는 한 사람 엄마의 사진엔 꽃밭이 있어 꽃밭 한가운데 엄마가 있어 그녀의 주변엔 꽃밭이 있어 아름답게 자란 꽃밭이 있어 초록빛 머금은 새싹이었지 붉은빛 머금은 꽃송이였지 나를 찾던 벌과 사랑을 했지 그 추억 그리워 꽃밭에 있지 나는 다시 피어날 수 없지만 나를 찾던 벌도 사라졌지만 나의 사랑 너의 얼굴에 남아 너를 안을 때 난 꽃밭에 있어,"바쁘고 걱정 많은 삶 속에서도 작은 아름다움에 멈춰 서며, 어머니와의 추억을 소중히 간직하는 사람의 이야기를 담은 노래.",가족,관계
엄마의 꿈,린,엄마의 꿈은 뭐 였어 소녀로 살던 시절에 누구보다 예쁜 아이였겠지 푸르던 날에 태어나 나처럼 어른이 되고 그때까지 어떤 꿈을 품어냈을까 엄마 난 미안해 이제 와서 그게 궁금해 소중했을 꿈을 묻지도 못했던 게 처음부터 그냥 내 엄마로 태어난 게 아닐 텐데 묻고 싶어 엄마이기 전에 꼭 지키고 싶었을 꿈 사는 게 조금 팍팍해 살수록 모두 어려워 누구보다 잘해내고 싶은 맘인데 엄마 난 잘 안돼 어른으로 살아가는 일 이런 맘의 병도 엄마 웃음으로 나아 아픈 데 없이 건강하게 오래 오래 곁에 있어 그거면 돼 내가 원하는 건 그것 하나야 헤어짐의 시간이 다가온단 그 생각만으로 맘이 아려요 일초라도 붙잡고 싶어 어쩌면 엄마는 내 행복만을 바라다 하얀 새처럼 날아가 버릴 텐데 미안해요 이제 와서 새삼스레 꿈을 묻는 게 지난 얘기라며 잊었다지만 심었던 꿈이 내게 와서 꽃을 피우게 내가 더 잘 살게요 엄마,"자식으로서 엄마의 젊은 시절과 꿈에 대해 뒤늦게 깨닫고, 엄마의 행복을 바라며 앞으로 더 잘 살겠다는 다짐을 담은 노래.",가족,관계
엄마랑 전화를 하다가,윤딴딴,엄마랑 전화를 하다가 어린 시절 얘길 하게 됐지 그땐 그랬지 니가 이랬지 시시콜콜한 얘기가 정말 좋았어 이제 다시 올 순 없다 해도 그대와 이 밤에 어린 시절 얘기 그대와 이 밤에 시시콜콜한 얘기 더 나누고 파요 우리가 모아둔 보물 상자를 열듯이 나누는 모든 순간은 다 행복일 거예요 내 인생 삼십년 만에 엄마의 비밀을 알게 됐지 많이 울었지 아빠도 몰랐지 진심 어린 그 얘기가 정말 좋았어 이제 나는 그녈 돌볼 힘이 있네 이제 나는 그런 힘이 있어야 하네 그대와 이 밤에 어린 시절 얘기 그대와 이 밤에 시시콜콜한 얘기 더 나누고 파요 우리가 모아둔 보물 상자를 열듯이 나누는 모든 순간은 다 행복일 거예요 그대가 나를 사랑했던 날 이젠 내가 그댈 더 사랑해야 할 얼마나 남았는지 알 수 없는 그 시간을 나는 더 후회 않는 게 내 바람일 거예요 문득 엄마랑 전화를 하다가,"어린 시절의 추억을 엄마와 공유하며, 그 시간들을 소중히 여기고 앞으로 엄마를 더 사랑하겠다는 마음을 담은 노래.",가족,관계
